"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Austria","AUT","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55624362042478","0.524360966241947","0.507530862354645","0.501350328388013","0.499465010783944","0.489744353800794","0.477955660014677","0.492758760141128","0.509209763239236","0.521226518486455","0.514658532017354","0.5182145789447","0.508252963113079","0.510430236689394","0.530611879455657","","","",
"Azerbaijan","AZE","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00464704363871","0.739618535849439","0.548762958732747","0.635722776740832","0.699257790588419","1.06258432003641","0.997105272800557","0.756028960786804","1.04159828126905","1.58673376923312","1.65845319779658","2.23201010103022","1.29979590438778","","","",
"Burundi","BDI","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14348861177402","3.42039012252899","3.28191859632245","2.87306943877407","3.28037693640531","3.37425281296985","2.71866375249309","2.6164257268223","2.71909045635596","2.82204653764541","3.1011849517749","3.13302963446759","3.71075532503756","4.23306440699933","4.66768705824476","","","",
"Benin","BEN","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.169789309457883","0.250974478329026","0.498679133762319","0.522196508689708","0.515354844558887","0.486351841642686","0.534100374196596","0.607464342340039","","","",
"Burkina Faso","BFA","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.292271390090449","0.328520071893579","","","","","",
"Bangladesh","BGD","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0736932382611236","0.0775846332445701","0.0717065812937578","0.041286231610332","","","","","",
"Bulgaria","BGR","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.11755306184999","1.60284794351031","1.36411090025984","1.65626500720947","1.73836561538001","1.68270919476555","1.61970274035064","1.84883877235409","2.02592530800601","1.96769979993671","1.95781337782393","1.7615514542198","1.40620457247086","","","",
"Bahrain","BHR","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.57291302074403","1.82408644314737","1.86993338362321","1.23714825800304","1.4153421846736","1.2184669928699","1.33788705291115","1.41091078081555","1.39820186770231","1.48680049452484","3.8396043845922","3.59408907008","3.11021620192405","","","","","",
"Bahamas, The","BHS","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.18714291319133","1.04519647803584","1.09071865365154","1.13293252935305","1.00560504128891","","","",
"Belarus","BLR","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.280409937014127","0.567794516650797","0.766756705189465","0.846361283400091","0.947773517232104","0.901720496985862","1.14708931691235","1.35003065109109","1.06048800578849","0.925295202568298","0.979319550430309","1.20439637617799","1.34338494093275","1.36278123326296","1.14093799230073","","","",
"Belize","BLZ","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.25602478247005","4.40434165814391","3.09814695738587","3.10581363061386","4.96470097606021","4.14308278004215","3.7226898176765","2.94892285527767","2.94608018575581","2.97476331323282","3.20674199965333","3.06506945616107","3.01096319498825","2.56495529485518","","","",
"Bermuda","BMU","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512640885286436","","","","","",
"Brazil","BRA","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5550679495796","2.58341797932708","2.6203563739535","2.26874332008211","2.18994066740579","1.89926698706597","1.72823851179057","1.57789459442645","1.62407631781024","1.7379789498387","1.97977715576373","2.73403227219027","","","",
"Barbados","BRB","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.77747568754575","5.51430272268697","4.93145537946114","4.48257327885363","4.9034966787818","4.88470730980236","","","",
"Brunei Darussalam","BRN","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.68713489346446","1.64316081874379","1.95167476174581","2.54979651952775","2.64696809375176","2.39392708838209","2.4088049094354","2.38224666645349","1.00174036538163","","","",
"Bhutan","BTN","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0248761169376505","0.0267781937864853","0.0500947028429937","0.0303944971931851","0.041230218084948","0.0515356503462972","0.179659085929626","0.0492778650257852","0.0608036566061076","0.0903871239433437","0.100674721986755","0.142318647498453","0.0913169260779769","","","","","",
"Botswana","BWA","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95488948814189","6.09390548188938","7.0121145468341","9.1187560868009","9.53489168565273","9.93514369082586","12.8888379511571","11.9026775503766","14.532408574441","18.1018746280424","20.0905899671611","15.2070441944117","15.1036491792027","12.1919817916607","17.9837464083535","","","",
"Central African Republic","CAF","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0414606363989473","0.0469533722859658","0.0538143619769244","0.0728380461129481","0.0375291983633819","0.0374695721233274","0.0591046923986226","0.105519425704194","0.109779442742978","0.137787098669747","0.126210223502876","0.129260882415813","","","",
"Canada","CAN","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.204167601264153","0.215755281390988","","","","","",
"Central Europe and the Baltics","CEB","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.92000300372449","3.30649587285194","3.38080318267984","2.63561267120568","2.7572789504031","3.25815570869467","3.09428081599233","3.262690766701","2.97959714272379","3.19455245630836","3.53141071765224","3.97441998711866","3.9609810006444","4.04358309895524","3.66793176705027","","","",
